Sex,Age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
0,35,14.8,52.67,27.73,7991.66,40.31,27.82,36.89,15836.9,37.37,25.1,35.68,14921.19
0,37,15.51,61.84,38.99,10964.2,36.53,24.49,35.31,14748.78,36.12,21.23,32.45,14921.19
1,39,10.79,59.8,26.94,5277.44,39.59,30.82,37.55,16797.2,39.39,30.43,37.97,21359.4
1,32,11.89,45.83,29.43,7649.51,39.5,29.03,39.31,19890.8,39.52,31.04,40.92,20771.4
1,46,14.11,69.34,36.89,12433.3,38.3,28.82,34.67,17149.2,36.49,26.61,35.08,15202.9
0,39,15.12,43.94,22.98,6156.61,36.48,21.57,32.66,12429.1,35.68,19.97,35.72,11124.7
0,35,15.32,48.98,29.63,9503.23,37.29,23.19,38.7,12515.4,33.67,21.16,37.49,14921.19
0,36,20.11,53.63,32.71,13625.2,39.82,29.86,42.25,21188,41.44,33.32,44.89,21149.6
0,48,15.65,64.59,25.39,9328.64,39,27.42,36.56,14748.78,40.63,30.27,38.8,17656.1
0,32,17.67,58.09,34.55,11687,38.2,28.03,36.16,17009.3,41.04,31.28,40.85,21135.9
0,38,32.86,91.97,42.43,7991.66,43.14,31.86,44.54,24946.2,42.53,33.86,45.57,28846.7
